"soc6","soc_code","title","auto_w","pv_w","da_w","tk_w","ag_w","n_tasks","n_core","occupation_category","eloundou_alpha","eloundou_beta","eloundou_gamma","webb_software","webb_robot","webb_ai","sml","felten","frey_osborne","routine_cognitive","routine_manual"
"519195","51-9195.05","Potters, Manufacturing",0.38109756097561,0.970991711506825,0.583273501521295,0.71741984298471,0.458796589555605,23,18,"Production, Transportation & Material Moving",0.0172413793103448,0.0689655172413793,0.120689655172414,44,67,25,3.16491122196144,3.3497901,0.9,0.153802465,1.6744549
"452091","45-2091.00","Agricultural Equipment Operators",0.38,0.708639610306789,0.760710678118655,0.72,0.42278174593052,17,8,"Farming, Fishing & Forestry",0,0,0,97,93,93,2.9167957155762,3.1536293,NA,-0.5755238,1.6259917
"372012","37-2012.00","Maids and Housekeeping Cleaners",0.379310344827586,0.476229661095856,0.745002674282612,1.18521794288137,0.222965181298956,20,9,"Building & Grounds Maintenance",0,0,0,42,97,5,3.16390294613785,1.8491679,0.69,-0.21287486,0.61164993
"493023","49-3023.00","Automotive Service Technicians and Mechanics",0.378409090909091,0.705486849005393,1.04467466874885,0.73292109403236,0.276492850567028,30,25,"Construction, Extraction & Maintenance",0.0363636363636364,0.0818181818181818,0.127272727272727,24,61,45,3.04953836994367,4.2548738,0.59,0.488245165,0.708576
"519195","51-9195.04","Glass Blowers, Molders, Benders, and Finishers",0.378289473684211,0.784958608545952,0.640221766440689,0.750467551393852,0.582140009041043,16,3,"Production, Transportation & Material Moving",0.0172413793103448,0.0689655172413793,0.120689655172414,44,67,25,3.16491122196144,3.3497901,0.9,0.153802465,1.6744549
"519198","51-9198.00","Helpers--Production Workers",0.378048780487805,0.202699028579996,0.722471227891699,1.55740374123398,0.413587970272843,30,11,"Production, Transportation & Material Moving",0.0444444444444444,0.0888888888888889,0.133333333333333,63,83,24,3.30536965109717,2.7546501,0.66,0.33512655,1.9280401
"514041","51-4041.00","Machinists",0.376275510204082,1.0329068748383,0.83392728300156,0.524634832269113,0.497192589124009,29,20,"Production, Transportation & Material Moving",0.163265306122449,0.23469387755102,0.306122448979592,93,75,90,3.11801969191679,3.7895303,0.65,0.7058338,1.4907465
"475023","47-5023.00","Earth Drillers, Except Oil and Gas",0.375,0.826359685266346,0.748168977115626,0.545788024734673,0.486475726555702,28,14,"Construction, Extraction & Maintenance",0.0909090909090909,0.136363636363636,0.181818181818182,NA,NA,NA,NA,NA,NA,NA,NA
"499064","49-9064.00","Watch and Clock Repairers",0.375,0.667258898432212,0.650592231765546,0.860355339059327,0.510355339059327,15,15,"Construction, Extraction & Maintenance",0.133333333333333,0.2,0.266666666666667,39,67,46,2.99979894743066,3.0512936,0.99,-0.7286417,-0.32154432
"519031","51-9031.00","Cutters and Trimmers, Hand",0.370689655172414,0.572842650588843,0.747041846978383,1.10554000592344,0.271118512657809,18,11,"Production, Transportation & Material Moving",0,0,0,62,78,52,3.25470963505019,2.4655385,0.64,1.4230711,1.8829582
