soc_code,title,n_software
19-4044.00,Hydrologic Technicians,21
19-4051.00,Nuclear Technicians,15
19-4051.02,Nuclear Monitoring Technicians,18
19-4061.00,Social Science Research Assistants,33
19-4071.00,Forest and Conservation Technicians,42
19-4092.00,Forensic Science Technicians,33
19-4099.01,Quality Control Analysts,52
19-4099.03,Remote Sensing Technicians,96
19-5011.00,Occupational Health and Safety Specialists,24
19-5012.00,Occupational Health and Safety Technicians,22
21-1011.00,Substance Abuse and Behavioral Disorder Counselors,31
21-1012.00,"Educational, Guidance, and Career Counselors and Advisors",78
21-1013.00,Marriage and Family Therapists,32
21-1014.00,Mental Health Counselors,23
21-1015.00,Rehabilitation Counselors,31
21-1021.00,"Child, Family, and School Social Workers",10
21-1022.00,Healthcare Social Workers,30
21-1023.00,Mental Health and Substance Abuse Social Workers,26
21-1091.00,Health Education Specialists,23
21-1092.00,Probation Officers and Correctional Treatment Specialists,19
21-1093.00,Social and Human Service Assistants,13
21-1094.00,Community Health Workers,14
21-2011.00,Clergy,12
21-2021.00,"Directors, Religious Activities and Education",19
23-1011.00,Lawyers,127
23-1012.00,Judicial Law Clerks,35
23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",18
23-1022.00,"Arbitrators, Mediators, and Conciliators",14
23-1023.00,"Judges, Magistrate Judges, and Magistrates",17
23-2011.00,Paralegals and Legal Assistants,99
23-2093.00,"Title Examiners, Abstractors, and Searchers",27
25-1011.00,"Business Teachers, Postsecondary",32
25-1021.00,"Computer Science Teachers, Postsecondary",44
25-1022.00,"Mathematical Science Teachers, Postsecondary",27
25-1031.00,"Architecture Teachers, Postsecondary",38
25-1032.00,"Engineering Teachers, Postsecondary",33
25-1041.00,"Agricultural Sciences Teachers, Postsecondary",24
25-1042.00,"Biological Science Teachers, Postsecondary",39
25-1043.00,"Forestry and Conservation Science Teachers, Postsecondary",37
25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",50
25-1052.00,"Chemistry Teachers, Postsecondary",28
25-1053.00,"Environmental Science Teachers, Postsecondary",25
25-1054.00,"Physics Teachers, Postsecondary",47
25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",36
25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",24
25-1063.00,"Economics Teachers, Postsecondary",40
25-1064.00,"Geography Teachers, Postsecondary",41
25-1065.00,"Political Science Teachers, Postsecondary",29
25-1066.00,"Psychology Teachers, Postsecondary",46
25-1067.00,"Sociology Teachers, Postsecondary",29
25-1071.00,"Health Specialties Teachers, Postsecondary",35
25-1072.00,"Nursing Instructors and Teachers, Postsecondary",24
25-1081.00,"Education Teachers, Postsecondary",25
25-1082.00,"Library Science Teachers, Postsecondary",53
25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",22
25-1112.00,"Law Teachers, Postsecondary",32
25-1113.00,"Social Work Teachers, Postsecondary",20
25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",54
25-1122.00,"Communications Teachers, Postsecondary",36
25-1123.00,"English Language and Literature Teachers, Postsecondary",31
25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",29
25-1125.00,"History Teachers, Postsecondary",23
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",24
25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",21
25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",24
25-1194.00,"Career/Technical Education Teachers, Postsecondary",27
25-2011.00,"Preschool Teachers, Except Special Education",20
25-2012.00,"Kindergarten Teachers, Except Special Education",9
25-2021.00,"Elementary School Teachers, Except Special Education",30
25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",35
25-2023.00,"Career/Technical Education Teachers, Middle School",95
25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",24
25-2032.00,"Career/Technical Education Teachers, Secondary School",23
25-2051.00,"Special Education Teachers, Preschool",13
25-2055.00,"Special Education Teachers, Kindergarten",22
25-2056.00,"Special Education Teachers, Elementary School",22
25-2057.00,"Special Education Teachers, Middle School",24
25-2058.00,"Special Education Teachers, Secondary School",21
25-2059.01,Adapted Physical Education Specialists,11
25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",22
25-3021.00,Self-Enrichment Teachers,22
25-3031.00,"Substitute Teachers, Short-Term",14
25-3041.00,Tutors,24
25-4011.00,Archivists,32
25-4012.00,Curators,46
25-4013.00,Museum Technicians and Conservators,18
25-4022.00,Librarians and Media Collections Specialists,83
25-4031.00,Library Technicians,30
25-9021.00,Farm and Home Management Educators,17
25-9031.00,Instructional Coordinators,88
25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",30
25-9043.00,"Teaching Assistants, Special Education",31
25-9044.00,"Teaching Assistants, Postsecondary",22
27-1011.00,Art Directors,52
27-1012.00,Craft Artists,12
27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",53
27-1014.00,Special Effects Artists and Animators,129
27-1021.00,Commercial and Industrial Designers,62
27-1022.00,Fashion Designers,29
27-1023.00,Floral Designers,13
27-1024.00,Graphic Designers,78
27-1025.00,Interior Designers,30
27-1026.00,Merchandise Displayers and Window Trimmers,28
27-1027.00,Set and Exhibit Designers,31
27-2011.00,Actors,20
